"Log Id"	"Internal Case"	"After Work"	"Holiday"	"Status"	"Customer"	"Time"	"Requestor"	"Submitted Date"	"Time"	"Subject"	"Problem Description"	"Module"	"Application_Form"	"Program Group"	"Type"	"Problem"	"Error Type"	"C(problemStatic)"	"Cause"	"Solution"	"Solution By"	"Responsible"	"Time"	"Projected Date"	"Closed  By"	"Closed Date"	"Submitted Date"	"Closed"	"Remark"	"Record By"	"Severity "	"Support  Type"	"LogType"	"Mail"	"Time"	"Time"	"Time"	"How To Check"	"Current Solution"	"C(longtermsolutionStatic)"	"Closed"	"Severity "	"Severity Days"	"SLA"	"PK Manday"	"LogDate"	
"ART2604001"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"K.Suwat"	"02/04/2026"	"08:15"	"ช่วยแก้ให้ด้วยครับ"	""	"PO"	"Generate A/P Transactions"	"Generate AP Transactions"	"Standard"	"กดปุ่ม Generate แล้ว Error The root transaction wanted to commit, but transaction aborted"	"Standard Bug"	""	"เกิดจากสร้างรายการ PO DL26030053 Line #4 ใน GRN RL26030644 แยกเป็น 6 Line"	"รวบ PO DL26030053 Line #4 ให้เหลือ 1 GRN Line"	""	"J3"	"02/04/2026"	"08/04/2026"	"J3"	"03/04/2026"	"0904"	1	""	"sa"	"Standard"	""	""	"MAIL"	"02/04/2026"	"J3"	"17:35"	""	"รวบ PO DL26030053 Line #4 ให้เหลือ1 GRN Line"	"รวบ PO DL26030053 Line #4 ให้เหลือ 1 GRN Line"	1	"Standard"	"3 Days"	Pass	0.00	"03/04/2026"	
"ART2604002"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"K.Suwat"	"02/04/2026"	"16:05"	"Generate Voucher ไม่ได้"	""	"PO"	"Generate A/P Transactions"	"Generate AP Transactions"	"Standard"	"Generate Voucher ไม่ได้ Error 

[Generate] was not successful
difference is 84000.00000000"	"Human Error"	""	"ยอด Material ไม่ตรงกับยอดเงินที่เลือกที่ Tab PO Selection"	"User ต้องติ๊กรายการ PO IL26010006 Line 2 ออก 1 รายการ เนื่องจากข้อมูลในตารางนี้ไม่มียอด Qty -100 จึงทำให้ยอดเงินไม่ตรง"	""	"J3"	"02/04/2026"	"08/04/2026"	"J3"	"03/04/2026"	"0905"	1	""	"sa"	"Standard"	""	""	"LINE"	"02/04/2026"	"S11"	"17:30"	""	"User ต้องติ๊กรายการ PO IL26010006 Line 2 ออก 1 รายการ เนื่องจากข้อมูลในตารางนี้ไม่มียอด Qty -100 จึงทำให้ยอดเงินไม่ตรง"	"User ต้องติ๊กรายการ PO IL26010006 Line 2 ออก 1 รายการ เนื่องจากข้อมูลในตารางนี้ไม่มียอด Qty -100 จึงทำให้ยอดเงินไม่ตรง"	1	"Standard"	"3 Days"	Pass	0.00	"03/04/2026"	
"ART2604003"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"ASP"	"06/04/2026"	"16:10"	"เนื่องจาก หน้ารายงาน Fixed Assef Generate Depreciatio Calculation ไม่พบรายการที่คี่ข้อมูล รายละเอียดปัญหาตามไฟล์แนบค่ะ"	""	"FA"	"Fixed Assef Generate Depreciatio Calculation"	"Fixed Asset Generate Depreciation Calculate"	"Standard"	"เนื่องจากจะทำการปิดงบเดือน มี.ค.  รบกวนตอบกลับด้วยนะคะ

สอบถามข้อมูล การบันทึกบัญชีเกี่ยวกับทรัพย์สินค่ะ

เนื่องจาก หน้ารายงาน  Fixed Assef Generate Depreciatio Calculation ไม่พบรายการที่คี่ข้อมูล  รายละเอียดปัญหาตามไฟล์แนบค่ะ"	"Human Error"	""	"ข้อมูล Curr Period Depr ยังไม่ถูกคำนวณ"	"ทำ Fixed Asset Generate Depreciation Calculation และให้ User สอบข้อมูล Curr Period Depr"	""	"J3"	"07/04/2026"	"10/04/2026"	"J3"	"08/04/2026"	"1032"	2	""	"J6"	"Standard"	""	""	"MAIL"	"07/04/2026"	"J6"	"09:20"	""	"ทำ Fixed Asset Generate Depreciation Calculation และให้ User สอบข้อมูล Curr Period Depr"	"ทำ Fixed Asset Generate Depreciation Calculation และให้ User สอบข้อมูล Curr Period Depr"	2	"Standard"	"3 Days"	Pass	0.00	"07/04/2026"	
"ART2604004"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"K.เอี้ยม"	"06/04/2026"	"09:15"	"รายงานผลไม่ได้ครับ"	""	"PS"	"ProductionScheduleCompleteTransactions_PK"	"ProductionScheduleCompleteTransactions"	"Customized"	"รายงานผลไม่ได้ครับ"	"Knowledge"	""	""	"แก้ไข  Total Run Hours (Lbr) ที่หน้า Work Center ให้เป็น 0"	""	"WI"	"07/04/2026"	"13/04/2026"	"J3"	"08/04/2026"	"1032"	2	""	"J6"	"Standard"	""	""	"MAIL"	"07/04/2026"	"J6"	"09:15"	""	"แก้ไข  Total Run Hours (Lbr) ที่หน้า Work Center ให้เป็น 0"	"แก้ไข  Total Run Hours (Lbr) ที่หน้า Work Center ให้เป็น 0"	2	"Standard"	"3 Days"	Pass	0.00	"08/04/2026"	
"ART2604005"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"ASP"	"30/04/2026"	"08:25"	"สอบถาม ข้อมูล CN2604001 ค่ะ"	""	"RMA"	"RMAs"	"RMA"	"Standard"	"เนื่องจากทาง ASP มีความประสงค์สอบถามเกี่ยวกับการดูข้อมูลย้อนหลังเลขที่ CN26040001 ว่าสามารถเปิดไฟล์เรียกดูเอกสารได้หรือไม่  เนื่องจาก

ตอนแรกนั้นทาง ASP ได้ทำการเปิดเอกสารCN26040001 และเกิดความเข้าใจผิด จึงได้ทำการลบข้อมูล CN ออกจากระบบ Syteline  หลังจากนั้น ทาง ASP จะมาทำการเปิดเอกสารใหม่อีกครั้งแต่ทำไม่ได้แล้ว เนื่องจากได้ดึงข้อมูลมาทำแล้ว

จึงอยากให้ทาง PPCC เช็คข้อมูลแก้ไขปัญหา สอบถามว่า

สามารถดึงข้อมูล CN2604001 ขึ้นมาใหม่ได้หรือไม่   
ถ้าดึงข้อมูลเก่าไม่ได้ ทาง ASP สามารถเปิด CN ใหม่โดยที่ไม่กระทบกับยอดในระบบ ได้หรือไม่"	"Knowledge"	""	""	"- ไม่สามารถดึงข้อมูลขึ้นมาใหม่ได้ค่ะเนื่องจากมีการลบข้อมูลไปแล้ว - ทาง ASP สามารถเปิด CN ใหม่ได้ โดยที่จะไม่กระทบกับยอดในระบบค่ะ"	""	"J6"	"30/04/2026"	"05/05/2026"	"J3"	"05/05/2026"	"0906"	3	""	"J6"	"Standard"	""	""	"MAIL"	"30/04/2026"	"J6"	"08:55"	""	"- ไม่สามารถดึงข้อมูลขึ้นมาใหม่ได้ค่ะเนื่องจากมีการลบข้อมูลไปแล้ว - ทาง ASP สามารถเปิด CN ใหม่ได้ โดยที่จะไม่กระทบกับยอดในระบบค่ะ"	"- ไม่สามารถดึงข้อมูลขึ้นมาใหม่ได้ค่ะเนื่องจากมีการลบข้อมูลไปแล้ว - ทาง ASP สามารถเปิด CN ใหม่ได้ โดยที่จะไม่กระทบกับยอดในระบบค่ะ"	3	"Standard"	"3 Days"	Pass	0.00	"30/04/2026"	
"ART2605001"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"K.เอี้ยม"	"13/05/2026"	"08:45"	"เรียก Biling ไม่ได้"	""	"AR"	"2P2C_ARBilling"	"AR Billing"	"Customized"	"Inv. AC2605003 Post แล้ว มีข้อมูลใน artran, jounal(AR Dist)แล้ว แต่เรียก  Biling ไม่ได้ครับ"	"Knowledge"	""	""	"กด New > ลบเงื่อนไข Invoice Date ให้เป็นค่าว่าง > ใส่ CO00086 ที่เงื่อนไข Customer ข้อมูลจะแสดงขึ้นมาให้"	""	"J6"	"13/05/2026"	"18/05/2026"	"J3"	"18/05/2026"	"1228"	3	""	"J6"	"Standard"	""	""	"MAIL"	"13/05/2026"	"J6"	"08:50"	""	"กด New > ลบเงื่อนไข Invoice Date ให้เป็นค่าว่าง > ใส่ CO00086 ที่เงื่อนไข Customer ข้อมูลจะแสดงขึ้นมาให้"	"กด New > ลบเงื่อนไข Invoice Date ให้เป็นค่าว่าง > ใส่ CO00086 ที่เงื่อนไข Customer ข้อมูลจะแสดงขึ้นมาให้"	3	"Standard"	"3 Days"	Pass	0.00	"13/05/2026"	
"ART2606001"	0	0	0	"999-Closed"	"ART"	"ART_LIV"	"K.เอี้ยม"	"09/06/2026"	"10:10"	"ASP_รบกวนช่วยแก้ไข User ทำผิดพลาด"	""	"SFC"	"Job Material Transactions"	"Job Material Transactions"	"Standard"	"User ทำการยิง Tag ALUMINIUM แล้วไปกดโดนปุ่ม Select All แล้วกด Process ทำให้มีรายการเบิกไปทั้งหมด 6/6/2026 JOB: L026060002-0000 ตามไฟล์แนบให้ครับ
รบกวนช่วยแก้ไขรายการทั้งหมดที่ user ทำผิดไปกลับมาทีครับ"	"Human Error"	""	""	"ถอยรายการที่ทำผิด"	""	"S11"	"09/06/2026"	"12/06/2026"	"J3"	"10/06/2026"	"1616"	1	""	"sa"	"Standard"	""	""	"MAIL"	"09/06/2026"	"SU"	"12:45"	""	"ถอยรายการที่ทำผิด"	"ถอยรายการที่ทำผิด"	1	"Standard"	"3 Days"	Pass	0.00	"09/06/2026"	
"CCH2601001"	0	0	0	"999-Closed"	"CCH"	"CCH_LIVE"	"K. ธีรภัทร"	"12/01/2026"	"15:30"	"สามารถรู้ User ที่ทำได้จากหน้าไหนได้บ้างครับ"	""	"IC"	"PPCC_IssueRequisition"	"Miscellaneous Issue"	"Customized"	"สามารถรู้ User ที่ทำได้จากหน้าไหนได้บ้างครับ"	"Customized Bug"	""	"ปกติ User ที่สร้างรายการจะแสดงที่ Field Created By แต่จากที่ Query ดูผ่าน Database พบว่ารายการที่แจ้งปัญหามาลง CreatedBy เป็นค่า NULL"	""	""	"J3"	"12/01/2026"	"15/01/2026"	"J3"	"14/01/2026"	"1643"	2	""	"sa"	"Standard"	""	""	"MAIL"	"12/01/2026"	"J3"	"15:50"	""	""	""	2	"Standard"	"3 Days"	Pass	0.00	"12/01/2026"	
"CCH2601002"	0	0	0	"999-Closed"	"CCH"	"CCH_LIVE"	"K.Pornnipa"	"27/01/2026"	"09:40"	"ตั้งหนี้ จาก C22 โพสไม่มาฝั่ง CCH ค่ะ"	""	"AP"	"A/P Quick Payment Application"	"AP Quick Payment Application"	"Tech"	"รบกวนดู AP ให้หน่อยนะคะ เราตั้งหนี้จาก C22 จะโพสมา CCH โพสแล้วไม่มาค่ะ หลายเจ้าเลยค่ะ หายไปเลยค่ะ"	"Technical"	""	""	"Restart Service Infor Framework Inbound Bus Service, Infor Framework Replication Queue Listener, Infor Framework Replicator"	""	"J3"	"27/01/2026"	"30/01/2026"	"J3"	"28/01/2026"	"1325"	1	""	"sa"	"Standard"	""	""	"MAIL"	"27/01/2026"	"J3"	"10:40"	""	"Restart Service Infor Framework Inbound Bus Service, Infor Framework Replication Queue Listener, Infor Framework Replicator"	"Restart Service Infor Framework Inbound Bus Service, Infor Framework Replication Queue Listener, Infor Framework Replicator"	1	"Standard"	"3 Days"	Pass	0.00	"27/01/2026"	
"CCH2602001"	0	0	0	"999-Closed"	"CCH"	"CCH_LIVE"	"K.Pornnipa"	"03/02/2026"	"11:05"	"invoice generation ได้ แค่ข้อมูลไม่มาค่ะ"	""	"AR"	"Invoices, Debit and Credit Memos"	"Invoices Debit and Credit Memos"	"Customized"	"รบกวนดู INV. (CCH) ให้ด้วยนะคะ ทางเรา generation ได้นะคะ แต่ มาเช็คที่ invoices debit and credit memos ไม่มีข้อมูลมาค่ะ รบกวนเช็คให้หน่อยนะคะ (เอกสารตามที่แนบนะคะ)"	"Human Error"	""	"Last Invoice ที่หน้าจอ Invoice Debit and Credit Memo Sequences เป็นค่า D6901136 จึงทำให้ Next Invoice จะเป็น D6901137 แต่เนื่องจาก Invoice D6901137 มีอยู่แล้วในระบบจึงทำให้ Post DO ไม่สำเร็จ"	"Update Last Invoice D0028340"	""	"J3"	"03/02/2026"	"06/02/2026"	"J3"	"04/02/2026"	"1056"	1	"User ลบ Invoice Debit and Credit Memo Sequences"	"J6"	"Standard"	""	""	"MAIL"	"03/02/2026"	"J6"	"11:50"	""	"Update Last Invoice D0028340"	"Update Last Invoice D0028340"	1	"Standard"	"3 Days"	Pass	0.00	"03/02/2026"	
